col1,col2
1640,0.01
1641,1.81
1642,2.52
1643,2.27
1644,0.25
1645,-1.58
1646,-1.42
1647,3.22
1648,2.9
1649,5.31
1650,2.08
1651,-0.83
1652,3.75
1653,1.58
1654,4.12
1655,3.71
1656,6.04
1657,5.43
1658,6.69
1659,6.02
1660,2.72
1661,3.35
1662,4.81
1663,7.03
1664,6.33
1665,5.7
1666,2.43
1667,-0.52
1668,3.13
1669,4.62
1670,7.76
1671,8.78
1672,7.91
1673,4.41
1674,2.17
1675,-0.74
1676,-3.37
1677,-5.73
1678,-6.96
1679,-7.16
1680,-3.75
1681,-4.27
1682,-1.15
1683,-2.83
1684,-4.35
1685,-4.81
1686,-6.13
1687,-5.52
1688,-2.27
1689,-2.94
1690,-3.55
1691,-0.49
1692,-3.14
1693,-1.93
1694,-2.64
1695,-1.47
1696,-1.32
1697,-1.19
1698,-1.07
1699,-0.07
1700,1.74
1701,3.37
1702,3.93
1703,0.84
1704,-1.05
1705,-3.64
1706,-2.38
1707,-1.24
1708,2.48
1709,1.34
1710,3.9
1711,0.81
1712,-0.17
1713,-1.95
1714,0.04
1715,-3.56
1716,-1.41
1717,-1.26
1718,-0.24
1719,1.59
1720,0.53
1721,2.27
1722,-1.55
1723,3.1
1724,0.09
1725,0.08
1726,0.97
1727,0.88
1728,-1.01
1729,1.79
1730,3.41
1731,3.97
1732,3.57
1733,-1.28
1734,0.64
1735,0.58
1736,7.72
1737,8.75
1738,9.67
1739,4.21
1740,4.69
1741,5.12
1742,10.91
1743,10.72
1744,15.04
1745,12.64
1746,13.18
1747,12.76
1748,12.38
1749,12.94
1750,9.85
1751,7.06
1752,4.56
1753,-3.1
1754,-7.29
1755,-12.86
1756,-15.17
1757,-14.56
1758,-11.3
1759,-13.77
1760,-14.19
1761,-16.37
1762,-16.54
1763,-12.18
1764,-10.06
1765,-6.36
1766,-5.72
1767,-4.25
1768,-6.52
1769,-4.97
1770,-5.38
1771,-3.94
1772,-14.34
1773,-23.71
1774,-28.54
1775,-28.38
1776,-9.35
1777,17.69
1778,54.62
1779,90.56
1780,129.2
1781,153.18
1782,154.06
1783,135.06
1784,100.85
1785,56.57
1786,22.11
1787,-9.8
1788,-36.72
1789,-57.35
1790,-65.11
1791,-70.3
1792,-65.97
1793,-63.88
1794,-59.29
1795,-55.16
1796,-51.44
1797,-46.3
1798,-41.67
1799,-37.5
1800,-31.05
1801,-26.15
1802,-24.43
1803,-24.69
1804,-24.92
1805,-22.43
1806,-17.48
1807,-13.04
1808,-10.83
1809,-7.95
1810,-5.35
1811,-3.02
1812,-4.52
1813,-4.07
1814,-2.76
1815,-1.58
1816,1.28
1817,1.15
1818,-0.77
1819,1.11
1820,-0.8
1821,2.88
1822,5.29
1823,8.36
1824,8.43
1825,7.58
1826,3.22
1827,2.9
1828,3.51
1829,7.66
1830,9.59
1831,11.34
1832,8.4
1833,5.76
1834,4.29
1835,2.06
1836,5.45
1837,4.01
1838,2.71
1839,3.33
1840,3.0
1841,3.6
1842,3.24
1843,5.62
1844,3.26
1845,4.73
1846,5.16
1847,5.54
1848,5.89
1849,0.8
1850,-1.08
1851,-4.57
1852,-5.92
1853,-2.62
1854,-0.56
1855,-1.41
1856,-2.17
1857,-2.85
1858,-1.66
1859,-4.2
1860,-4.68
1861,-7.81
1862,-7.93
1863,-6.24
1864,-4.71
1865,-3.34
1866,0.59
1867,1.43
1868,-3.21
1869,-2.89
1870,-4.4
1871,-2.16
1872,0.76
1873,0.68
1874,-1.19
1875,-1.97
1876,-0.87
1877,1.02
1878,0.91
1879,2.62
1880,1.46
1881,-0.49
1882,1.36
1883,-3.27
1884,-3.85
1885,-5.26
1886,-2.04
1887,-0.93
1888,0.96
1889,0.87
1890,1.68
1891,-2.09
1892,-0.98
1893,-0.88
1894,-2.59
1895,-4.13
1896,-1.02
1897,-2.72
1898,-0.65
1899,0.32
1900,2.09
1901,1.88
1902,-0.11
1903,3.5
1904,1.35
1905,-1.48
1906,-3.14
1907,-5.52
1908,-4.07
1909,0.84
1910,1.65
1911,3.29
1912,2.06
1913,0.05
1914,0.05
1915,0.94
1916,4.45
1917,7.6
1918,11.34
1919,11.11
1920,11.8
1921,7.02
1922,11.72
1923,15.05
1924,18.04
1925,16.24
1926,11.91
1927,7.12
1928,3.71
1929,4.24
1930,3.81
1931,-1.97
1932,-5.37
1933,-10.23
1934,-12.81
1935,-16.03
1936,-14.43
1937,-12.98
1938,-14.38
1939,-12.05
1940,-9.94
1941,-9.85
1942,-7.06
1943,-9.96
1944,-8.96
1945,-11.66
1946,-10.5
1947,-9.45
1948,-6.7
1949,-7.83
1950,-14.25
1951,-19.12
1952,-19.91
1953,-17.02
1954,0.88
1955,21.49
1956,50.84
1957,82.66
1958,122.09
1959,144.08
1960,144.08
1961,117.97
1962,75.57
1963,32.01
1964,3.61
1965,-17.45
1966,-31.9
1967,-41.31
1968,-47.98
1969,-51.28
1970,-56.06
1971,-55.85
1972,-54.76
1973,-50.19
1974,-46.07
1975,-40.56
1976,-41.01
1977,-34.21
1978,-31.69
1979,-27.62
1980,-23.95
1981,-22.46
